------------------------------------------------------------
Client connecting to 12.1.1.1, TCP port 5001 with pid 98 (1 flows)
Write buffer size: 131072 Byte
TOS set to 0x0 (Nagle on)
TCP window size: 16.0 KByte (default)
------------------------------------------------------------
[  1] local 12.1.1.2%oaitun_ue0 port 58451 connected with 12.1.1.1 port 5001 (reverse) (sock=3) on 2023-11-22 15:38:23.089 (UTC)
[ ID] Interval        Transfer    Bandwidth       Reads=Dist
[ *1] 0.00-1.00 sec  3.15 MBytes  26.4 Mbits/sec  1162=1162:0:0:0:0:0:0:0
[ *1] 1.00-2.00 sec  6.70 MBytes  56.2 Mbits/sec  1637=1632:5:0:0:0:0:0:0
[ *1] 2.00-3.00 sec  8.65 MBytes  72.6 Mbits/sec  1987=1971:16:0:0:0:0:0:0
[ *1] 3.00-4.00 sec  8.65 MBytes  72.5 Mbits/sec  1759=1744:15:0:0:0:0:0:0
[ *1] 4.00-5.00 sec  8.62 MBytes  72.3 Mbits/sec  2219=2212:7:0:0:0:0:0:0
[ *1] 5.00-6.00 sec  8.64 MBytes  72.5 Mbits/sec  2255=2238:17:0:0:0:0:0:0
[ *1] 6.00-7.00 sec  8.42 MBytes  70.6 Mbits/sec  2188=2174:14:0:0:0:0:0:0
[ *1] 7.00-8.00 sec  8.64 MBytes  72.5 Mbits/sec  2280=2267:13:0:0:0:0:0:0
[ *1] 8.00-9.00 sec  8.46 MBytes  70.9 Mbits/sec  2316=2307:9:0:0:0:0:0:0
[ *1] 9.00-10.00 sec  8.57 MBytes  71.9 Mbits/sec  2321=2309:12:0:0:0:0:0:0
[ *1] 10.00-11.00 sec  8.56 MBytes  71.8 Mbits/sec  2377=2367:10:0:0:0:0:0:0
[ *1] 11.00-12.00 sec  8.57 MBytes  71.9 Mbits/sec  2287=2273:14:0:0:0:0:0:0
[ *1] 12.00-13.00 sec  8.46 MBytes  71.0 Mbits/sec  1466=1430:11:0:1:0:0:0:24
[ *1] 13.00-14.00 sec  8.74 MBytes  73.3 Mbits/sec  2152=2131:11:3:0:1:0:0:6
[ *1] 14.00-15.00 sec  8.50 MBytes  71.3 Mbits/sec  2225=2215:10:0:0:0:0:0:0
[ *1] 15.00-16.00 sec  8.64 MBytes  72.5 Mbits/sec  2324=2310:14:0:0:0:0:0:0
